Number,Name,2004,2005,2006,2007,2008,2009,2010,2011,Rank,"Number of occurrences per 10,000 residents in 2011",
1,West Humber-Clairville,260,244,250,305,241,225,249,175,36,51.3,
2,Mount Olive-Silverstone-Jamestown,116,78,94,96,137,111,101,61,135,18.6,
3,Thistletown-Beaumond Heights,42,30,36,36,37,56,63,36,82,35.6,
4,Rexdale-Kipling,36,59,42,38,37,36,47,32,102,30.5,
5,Elms-Old Rexdale,29,45,27,31,34,37,33,25,118,26.2,
6,Kingsview Village-The Westway,77,85,61,58,53,62,78,59,112,27.1,
7,Willowridge-Martingrove-Richview,67,62,50,62,53,49,89,66,100,30.9,
8,Humber Heights-Westmount,35,34,27,23,26,36,33,28,117,26.5,
9,Edenbridge-Humber Valley,95,85,78,73,69,47,56,75,38,50.4,
10,Princess-Rosethorn,60,32,37,57,40,23,51,50,53,44.7,
11,Eringate-Centennial-West Deane,72,64,38,31,32,63,71,63,88,33.5,
12,Markland Woods,45,32,25,50,42,29,35,24,130,23,
13,Etobicoke West Mall,41,39,39,29,24,19,32,26,128,23.8,
14,Islington-City Centre West,241,205,214,204,177,205,154,207,28,54.4,
15,Kingsway South,83,74,64,69,31,46,44,29,98,31.7,
16,Stonegate-Queensway,132,140,144,109,120,82,78,86,84,34.9,
17,Mimico,136,145,126,103,97,99,60,139,34,52.3,
18,New Toronto,103,83,100,57,63,64,61,69,15,63.3,
19,Long Branch,51,49,54,53,42,46,110,41,57,42.6,
20,Alderwood,57,49,63,35,36,46,67,77,13,64.8,
21,Humber Summit,151,95,149,162,90,97,116,76,19,60.6,
22,Humbermede,87,63,97,106,70,78,69,58,77,36.6,
23,Pelmo Park-Humberlea,45,27,31,29,24,37,15,37,58,42.3,
24,Black Creek,109,64,107,89,86,91,75,75,86,34,
25,Glenfield-Jane Heights,150,163,151,193,125,118,107,84,113,26.7,
26,Downsview-Roding-CFB,186,160,256,233,214,183,134,187,30,54,
27,York University Heights,246,246,352,339,233,321,234,150,29,54.1,
28,Rustic,18,24,25,25,32,24,22,43,55,43.3,
29,Maple Leaf,39,32,39,36,32,25,21,29,107,28.5,
30,Brookhaven-Amesbury,83,59,77,67,94,64,47,58,94,32.6,
31,Yorkdale-Glen Park,172,129,123,84,83,95,82,67,52,45.6,
32,Englemount-Lawrence,58,48,58,42,53,79,66,82,75,37.1,
33,Clanton Park,90,60,80,63,93,82,92,60,61,41.1,
34,Bathurst Manor,56,52,37,55,80,137,82,58,73,37.6,
35,Westminster-Branson,89,60,68,53,48,76,118,98,69,38.6,
36,Newtonbrook West,98,108,74,104,106,91,112,127,25,55.1,
37,Willowdale West,54,37,27,33,37,42,32,23,138,15.3,
38,Lansing-Westgate,58,42,53,29,36,70,60,46,99,31.5,
39,Bedford Park-Nortown,151,102,176,119,112,143,162,219,1,94.2,
40,St.Andrew-Windfields,176,132,157,104,133,94,122,112,17,62.4,
41,Bridle Path-Sunnybrook-York Mills,78,77,98,79,88,80,66,50,21,57.4,
42,Banbury-Don Mills,152,125,135,96,82,101,100,88,91,32.7,
43,Victoria Village,106,62,77,81,49,64,49,48,110,27.9,
44,Flemingdon Park,97,103,89,77,49,71,64,54,126,24.3,
45,Parkwoods-Donalda,172,125,137,100,120,128,118,106,101,30.6,
46,Pleasant View,48,28,21,19,23,41,34,23,139,14.2,
47,Don Valley Village,116,65,132,132,112,130,108,123,48,46.1,
48,Hillcrest Village,78,50,54,40,54,50,45,63,81,35.7,
49,Bayview Woods-Steeles,54,51,33,22,22,36,33,36,116,26.5,
50,Newtonbrook East,121,87,84,60,54,99,94,116,6,70.6,
51,Willowdale East,114,104,144,105,67,147,183,160,83,35.5,
52,Bayview Village,60,59,48,42,26,48,56,37,132,21,
53,Henry Farm,68,44,54,36,32,32,35,54,45,47.6,
54,O'Connor-Parkview,82,86,91,61,82,78,69,43,129,23.4,
55,Thorncliffe Park,88,111,73,53,65,58,74,25,140,13,
56,Leaside-Bennington,114,83,93,64,71,63,53,63,74,37.1,
57,Broadview North,81,61,50,53,30,41,30,24,133,20.8,
58,Old East York,64,53,51,38,44,33,24,31,87,34,
59,Danforth Village - East York,89,110,89,84,25,34,50,41,124,24.6,
60,Woodbine-Lumsden,69,65,66,49,33,24,18,12,137,15.4,
61,Crescent Town,81,81,71,74,98,73,94,51,93,32.7,
62,East End-Danforth,243,155,169,162,242,150,166,102,42,49,
63,The Beaches,169,108,117,156,171,86,75,119,23,56.4,
64,Woodbine Corridor,112,74,70,60,90,74,45,47,64,40.2,
65,Greenwood-Coxwell,180,149,129,92,103,100,65,96,8,68.3,
66,Danforth Village - Toronto,98,102,135,91,64,45,44,49,35,51.9,
67,Playter Estates-Danforth,73,59,90,66,37,45,77,33,56,43.2,
68,North Riverdale,174,109,145,105,73,82,59,79,12,65,
69,Blake-Jones,70,68,69,52,41,36,27,46,20,59.2,
70,South Riverdale,256,244,233,245,198,170,165,182,5,70.9,
71,Cabbagetown-South St.James Town,156,115,94,133,78,96,72,76,16,63,
72,Regent Park,46,57,56,33,39,48,26,36,80,36,
73,Moss Park,197,194,219,204,179,186,130,116,4,71.2,
74,North St.James Town,181,128,121,124,85,132,138,97,26,54.5,
75,Church-Yonge Corridor,331,289,262,285,203,202,185,143,37,50.4,
76,Bay Street Corridor,307,278,218,239,194,131,125,129,10,66.6,
77,Waterfront Communities-The Island,287,326,332,269,207,186,150,139,97,32.1,
78,Kensington-Chinatown,259,321,297,240,214,177,175,166,2,89.8,
79,University,147,125,139,144,141,203,114,53,7,68.4,
80,Palmerston-Little Italy,124,91,110,108,72,82,90,57,59,41.6,
81,Trinity-Bellwoods,115,117,138,160,109,105,95,67,66,39.9,
82,Niagara,112,146,111,103,81,68,67,46,131,21.9,
83,Dufferin Grove,101,86,101,77,65,63,57,75,11,65.4,
84,Little Portugal,112,66,97,74,94,88,50,77,14,63.6,
85,South Parkdale,140,124,122,167,132,132,133,64,104,30.1,
