Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
1,West Humber-Clairville,,89,58,65,63,66,75,74,62,18.2,59,-16.20%,
2,Mount Olive-Silverstone-Jamestown,,67,71,92,71,97,59,44,90,27.5,34,104.50%,
3,Thistletown-Beaumond Heights,,11,16,8,10,20,8,14,16,15.8,66,14.30%,
4,Rexdale-Kipling,,14,21,13,14,11,14,10,15,14.3,73,50.00%,
5,Elms-Old Rexdale,,11,9,12,11,7,14,15,14,14.7,71,-6.70%,
6,Kingsview Village-The Westway,,24,36,32,23,30,32,18,47,21.6,45,161.10%,
7,Willowridge-Martingrove-Richview,,13,10,11,11,15,19,18,18,8.4,101,0,
8,Humber Heights-Westmount,,4,10,1,6,9,12,9,12,11.4,84,33.30%,
9,Edenbridge-Humber Valley,,4,2,12,4,5,8,14,4,2.7,132,-71.40%,
10,Princess-Rosethorn,,2,0,1,6,3,2,8,16,14.3,74,100.00%,
11,Eringate-Centennial-West Deane,,29,12,5,15,11,5,12,9,4.8,123,-25.00%,
12,Markland Woods,,5,7,5,6,5,5,9,10,9.6,93,11.10%,
13,Etobicoke West Mall,,7,10,0,10,2,10,9,11,10.1,90,22.20%,
14,Islington-City Centre West,,38,41,6,31,43,83,58,71,18.7,54,22.40%,
15,Kingsway South,,5,10,5,4,7,8,7,6,6.6,115,-14.30%,
16,Stonegate-Queensway,,6,29,17,22,36,26,32,19,7.7,111,-40.60%,
17,Mimico,,30,24,36,46,36,28,23,52,19.6,51,126.10%,
18,New Toronto,,15,31,53,37,45,22,34,42,38.5,16,23.50%,
19,Long Branch,,9,5,22,18,18,9,3,13,13.5,77,333.30%,
20,Alderwood,,9,10,10,9,4,8,9,13,10.9,86,44.40%,
21,Humber Summit,,15,14,30,24,33,26,21,11,8.8,99,-47.60%,
22,Humbermede,,24,25,38,22,51,40,30,35,22.1,44,16.70%,
23,Pelmo Park-Humberlea,,16,15,21,21,21,41,26,43,49.2,9,65.40%,
24,Black Creek,,94,89,93,92,6,75,71,90,40.9,12,26.80%,
25,Glenfield-Jane Heights,,76,100,123,101,117,111,84,117,37.3,17,39.30%,
26,Downsview-Roding-CFB,,89,83,123,96,135,130,72,126,36.4,21,75.00%,
27,York University Heights,,37,33,40,73,53,65,59,56,20.2,49,-5.10%,
28,Rustic,,2,30,47,24,19,26,17,25,25.2,35,47.10%,
29,Maple Leaf,,7,22,1,15,10,11,15,9,8.8,98,-40.00%,
30,Brookhaven-Amesbury,,13,19,40,42,48,46,34,33,18.6,55,-2.90%,
31,Yorkdale-Glen Park,,33,41,37,45,45,70,43,60,40.8,13,39.50%,
32,Englemount-Lawrence,,18,24,31,13,22,21,14,17,7.7,112,21.40%,
33,Clanton Park,,3,2,14,8,6,17,11,15,10.3,88,36.40%,
34,Bathurst Manor,,10,6,6,2,16,6,16,9,5.8,116,-43.80%,
35,Westminster-Branson,,7,7,12,20,22,30,11,23,9.1,96,109.10%,
36,Newtonbrook West,,11,17,26,24,44,3,19,19,8.2,106,0,
37,Willowdale West,,22,23,20,27,16,25,23,18,12,82,-21.70%,
38,Lansing-Westgate,,11,2,11,11,13,7,12,13,8.9,97,8.30%,
39,Bedford Park-Nortown,,4,6,4,2,8,4,1,4,1.7,136,300.00%,
40,St.Andrew-Windfields,,4,11,10,4,11,10,6,5,2.8,131,-16.70%,
41,Bridle Path-Sunnybrook-York Mills,,1,0,1,0,0,3,2,2,2.3,133,0%,
42,Banbury-Don Mills,,14,17,41,22,17,6,10,21,7.8,109,110.00%,
43,Victoria Village,,10,9,22,16,18,14,15,14,8.1,107,-6.70%,
44,Flemingdon Park,,24,22,19,26,23,39,23,35,15.8,67,-15.60%,
45,Parkwoods-Donalda,,31,35,55,29,27,48,27,34,9.8,92,25.90%,
46,Pleasant View,,5,3,5,5,6,8,5,13,8,108,160.00%,
47,Don Valley Village,,17,21,34,8,17,28,20,34,12.7,80,70.00%,
48,Hillcrest Village,,7,11,15,18,12,13,5,9,5.1,122,80.00%,
