Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,Percent Change between 2010 and 2011,Rank,"Number of occurrences per 10,000 residents in 2011",
1,West Humber-Clairville,,1,1,1,1,1,2,1,0,-100.00%,41,0,
2,Mount Olive-Silverstone-Jamestown,,2,6,0,3,0,1,0,1,N/A,36,0.3,
3,Thistletown-Beaumond Heights,,1,1,0,1,0,0,0,0,N/A,42,0,
4,Rexdale-Kipling,,0,0,1,0,0,0,0,1,N/A,7,1,
5,Elms-Old Rexdale,,1,3,0,1,0,0,0,0,N/A,43,0,
6,Kingsview Village-The Westway,,1,0,0,0,0,2,1,1,0.00%,26,0.5,
7,Willowridge-Martingrove-Richview,,0.00%,0,0,0,0,0,0,0,N/A,44,0,
8,Humber Heights-Westmount,,0,1,0,0,0,0,1,0,-100.00%,45,0,
9,Edenbridge-Humber Valley,,0,0,0,0,0,0,0,0,N/A,46,0,
10,Princess-Rosethorn,,0,0,0,0,0,0,0,0,N/A,47,0,
11,Eringate-Centennial-West Deane,,0,0,0,0,1,0,0,0,N/A,48,0,
12,Markland Woods,,0,0,0,0,0,0,0,0,N/A,49,0,
13,Etobicoke West Mall,,0,0,0,0,1,0,0,1,N/A,8,0.9,
14,Islington-City Centre West,,0,0,1,1,0,0,1,1,0.00%,38,0.3,
15,Kingsway South,,0,0,0,0,0,0,0,0,N/A,50,0,
16,Stonegate-Queensway,,1,1,2,0,0,0,0,0,N/A,51,0,
17,Mimico,,0,1,0,0,0,0,0,0,N/A,52,0,
18,New Toronto,,0,1,1,0,1,1,1,0,-100.00%,53,0,
19,Long Branch,,0,0,0,0,0,0,0,0,N/A,54,0,
20,Alderwood,,1,0,0,0,3,0,0,0,N/A,55,0,
21,Humber Summit,,0,1,2,0,1,2,0,1,N/A,12,0.8,
22,Humbermede,,1,0,1,2,0,0,0,0,N/A,56,0,
23,Pelmo Park-Humberlea,,1,0,0,0,1,0,0,0,N/A,57,0,
24,Black Creek,,2,3,1,2,2,2,2,1,-50.00%,27,0.5,
25,Glenfield-Jane Heights,,0,5,2,5,0,1,3,1,-66.70%,35,0.3,
26,Downsview-Roding-CFB,,2,0,3,3,2,1,1,3,200.00%,9,0.9,
27,York University Heights,,0,0,0,1,0,2,0,2,N/A,15,0.7,
28,Rustic,,1,1,1,1,0,1,1,1,0.00%,5,1,
29,Maple Leaf,,1,0,0,0,0,0,0,0,N/A,58,0,
30,Brookhaven-Amesbury,,0,0,0,0,0,0,3,0,-100.00%,59,0,
31,Yorkdale-Glen Park,,1,0,0,1,1,1,0,0,N/A,60,0,
32,Englemount-Lawrence,,0,2,0,0,0,0,2,0,-100.00%,61,0,
33,Clanton Park,,0,1,0,0,2,0,0,1,N/A,17,0.7,
34,Bathurst Manor,,0,0,0,1,0,0,0,0,N/A,62,0,
35,Westminster-Branson,,0,1,0,0,0,0,0,0,N/A,63,0,
36,Newtonbrook West,,0,0,0,0,0,0,0,0,N/A,64,0,
37,Willowdale West,,0,0,0,0,0,0,0,0,N/A,65,0,
38,Lansing-Westgate,,0,0,0,0,0,0,0,0,N/A,66,0,
39,Bedford Park-Nortown,,1,0,1,0,0,0,0,1,N/A,30,0.4,
40,St.Andrew-Windfields,,1,0,0,0,0,0,0,0,N/A,67,0,
41,Bridle Path-Sunnybrook-York Mills,,0,0,0,0,0,0,0,0,N/A,68,0,
42,Banbury-Don Mills,,0,2,0,0,2,1,0,0,N/A,69,0,
43,Victoria Village,,0,0,3,0,1,0,0,2,N/A,3,1.2,
44,Flemingdon Park,,1,1,3,1,0,1,2,0,-100.00%,70,0,
45,Parkwoods-Donalda,,0,2,0,1,1,0,0,0,N/A,71,0,
46,Pleasant View,,0,0,0,0,0,0,0,0,N/A,72,0,
47,Don Valley Village,,0,0,1,0,0,0,1,0,-100.00%,73,0,
48,Hillcrest Village,,1,0,0,1,0,0,0,0,N/A,74,0,
49,Bayview Woods-Steeles,,0,0,0,1,0,0,0,0,N/A,75,0,
50,Newtonbrook East,,0,0,0,0,0,0,0,1,N/A,19,0.6,
51,Willowdale East,,1,1,0,1,0,0,0,0,N/A,76,0,
52,Bayview Village,,0,,0,0,1,0,0,0,N/A,77,0,
53,Henry Farm,,0,0,0,0,0,0,0,0,N/A,78,0,
54,O'Connor-Parkview,,1,1,0,1,2,0,0,0,N/A,79,0,
55,Thorncliffe Park,,0,0,0,1,0,0,0,0,N/A,80,0,
56,Leaside-Bennington,,0,0,0,0,0,0,0,0,N/A,81,0,
57,Broadview North,,0,0,0,0,0,0,0,0,N/A,82,0,
58,Old East York,,2,1,0,0,0,0,0,0,N/A,83,0,
59,Danforth Village - East York,,0,0,0,0,0,0,0,0,N/A,84,0,
60,Woodbine-Lumsden,,0,0,0,0,0,0,0,0,N/A,85,0,
61,Crescent Town,,0,0,2,0,0,0,0,1,N/A,18,0.6,
62,East End-Danforth,,0,1,0,0,1,0,1,0,-100.00%,86,0,
63,The Beaches,,0,0,0,0,0,0,0,0,N/A,87,0,
64,Woodbine Corridor,,0,0,0,1,1,0,0,1,N/A,10,0.9,
65,Greenwood-Coxwell,,0,0,0,0,0,1,0,0,N/A,88,0,
66,Danforth Village - Toronto,,0,1,2,1,0,0,0,1,N/A,4,1.1,
67,Playter Estates-Danforth,,0,0,0,1,0,1,0,0,N/A,89,0,
68,North Riverdale,,0,0,0,1,0,1,1,0,-100.00%,90,0,
69,Blake-Jones,,0,0,0,0,0,1,0,0,N/A,91,0,
70,South Riverdale,,1,0,0,0,3,4,2,1,-50%,31,0.4,
71,Cabbagetown-South St.James Town,,0,2,1,1,0,0,2,0,-100.00%,92,0,
72,Regent Park,,1,0,1,2,0,0,4,1,-75.00%,6,1,
73,Moss Park,,4,2,0,2,0,0,1,0,-100.00%,93,0,
74,North St.James Town,,0,1,1,1,0,1,1,0,-100.00%,94,0,
75,Church-Yonge Corridor,,1,3,3,1,1,1,0,1,N/A,33,0.4,
76,Bay Street Corridor,,0,2,2,1,0,1,0,0,N/A,95,0,
