Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
1,West Humber-Clairville,,91,106,102,93,109,128,123,82,24,34,-33.30%,
2,Mount Olive-Silverstone-Jamestown,,110,95,111,96,96,92,54,78,23.8,36,44.40%,
3,Thistletown-Beaumond Heights,,17,20,11,10,26,12,13,17,16.8,68,30.80%,
4,Rexdale-Kipling,,7,6,15,13,23,37,34,16,15.3,73,-52.90%,
5,Elms-Old Rexdale,,48,20,24,25,31,35,35,23,24.1,33,-34.30%,
6,Kingsview Village-The Westway,,43,31,34,36,34,58,56,32,14.7,79,-42.90%,
7,Willowridge-Martingrove-Richview,,22,26,44,57,14,35,35,48,22.5,41,37.10%,
8,Humber Heights-Westmount,,10,7,9,14,14,14,16,15,14.2,83,-6.30%,
9,Edenbridge-Humber Valley,,7,11,11,5,6,11,10,18,12.1,100,80.00%,
10,Princess-Rosethorn,,14,8,14,12,21,13,25,17,15.2,75,-32.00%,
11,Eringate-Centennial-West Deane,,20,12,18,11,14,21,36,35,18.6,55,-2.80%,
12,Markland Woods,,25,15,13,14,20,16,13,20,19.2,51,53.80%,
13,Etobicoke West Mall,,8,7,7,7,11,11,10,15,13.7,86,50.00%,
14,Islington-City Centre West,,46,53,49,66,66,79,53,58,15.2,74,9.40%,
15,Kingsway South,,29,15,10,15,12,16,16,30,32.8,20,87.50%,
16,Stonegate-Queensway,,11,24,11,21,21,16,32,21,8.5,118,-34.40%,
17,Mimico,,24,26,20,18,28,11,20,16,6,129,-20.00%,
18,New Toronto,,12,21,31,19,25,29,34,37,34,18,8.80%,
19,Long Branch,,13,11,6,9,17,8,6,12,12.5,97,100.00%,
20,Alderwood,,22,10,20,4,18,4,11,12,10.1,109,9.10%,
21,Humber Summit,,24,42,29,46,24,41,36,30,23.9,35,-16.70%,
22,Humbermede,,21,21,24,19,43,44,43,40,25.2,31,-7.00%,
23,Pelmo Park-Humberlea,,11,5,22,17,36,21,20,39,44.6,3,95.00%,
24,Black Creek,,102,70,107,92,43,69,79,65,29.5,24,-17.70%,
25,Glenfield-Jane Heights,,67,120,131,97,77,92,90,120,38.2,8,33.30%,
26,Downsview-Roding-CFB,,47,93,120,91,81,98,89,77,22.2,43,-13.50%,
27,York University Heights,,66,71,142,133,108,98,92,99,35.7,16,7.60%,
28,Rustic,,22,26,58,23,32,18,18,41,41.3,5,127.80%,
29,Maple Leaf,,7,9,6,11,11,4,9,19,18.7,54,111.10%,
30,Brookhaven-Amesbury,,38,24,36,19,31,46,32,32,18,59,0.00%,
31,Yorkdale-Glen Park,,97,55,37,101,92,112,77,81,55.1,2,5.20%,
32,Englemount-Lawrence,,27,33,50,47,69,81,62,79,35.7,15,27.40%,
33,Clanton Park,,21,12,23,26,35,25,33,30,20.5,46,-9.10%,
34,Bathurst Manor,,4,27,20,22,4,25,16,9,5.8,131,-43.80%,
35,Westminster-Branson,,11,10,18,23,19,19,32,27,10.6,107,-15.60%,
36,Newtonbrook West,,25,44,33,40,64,46,54,45,19.5,50,-16.70%,
37,Willowdale West,,12,9,18,21,17,18,30,19,12.7,95,-36.70%,
38,Lansing-Westgate,,6,10,16,9,7,13,18,10,6.8,125,-44.40%,
39,Bedford Park-Nortown,,9,13,10,15,25,23,14,16,6.9,123,14.30%,
40,St.Andrew-Windfields,,9,11,15,21,26,13,5,12,6.7,127,140.00%,
41,Bridle Path-Sunnybrook-York Mills,,2,2,10,2,9,8,5,11,12.6,96,120.00%,
42,Banbury-Don Mills,,7,20,10,13,13,18,31,10,3.7,135,-67.70%,
43,Victoria Village,,6,18,24,17,17,17,14,17,9.9,110,21.40%,
44,Flemingdon Park,,58,68,57,19,31,30,19,40,18,58,110.50%,
45,Parkwoods-Donalda,,35,45,52,41,53,40,48,51,14.7,80,6.30%,
46,Pleasant View,,22,23,14,13,19,23,25,25,15.5,71,0,
47,Don Valley Village,,54,59,47,60,72,28,53,40,15,77,-24.50%,
48,Hillcrest Village,,27,40,29,32,41,15,18,16,9.1,113,80.00%,
49,Bayview Woods-Steeles,,7,20,11,17,12,2,7,5,3.7,136,-28.60%,
50,Newtonbrook East,,10,26,20,21,21,26,27,11,6.7,126,-59.30%,
51,Willowdale East,,22,35,46,53,55,37,85,36,8,119,-57.60%,
