Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011
1,West Humber-Clairville,,52,50,46,36,26,43,37,68,83.80%,12,19.9
2,Mount Olive-Silverstone-Jamestown,,49,50,63,43,33,23,44,75,70.50%,6,22.9
3,Thistletown-Beaumond Heights,,21,34,13,12,5,16,7,24,242.90%,4,23.7
4,Rexdale-Kipling,,3,10,10,5,8,11,13,20,53.80%,15,19.1
5,Elms-Old Rexdale,,6,21,7,17,2,14,6,5,-16.70%,104,5.2
6,Kingsview Village-The Westway,,19,31,10,4,9,9,20,22,10.00%,54,10.1
7,Willowridge-Martingrove-Richview,,2,14,9,11,12,12,12,22,83.30%,53,10.3
8,Humber Heights-Westmount,,11,3,2,3,3,3,8,1,-87.50%,138,0.9
9,Edenbridge-Humber Valley,,5,5,1,6,4,2,3,5,66.70%,117,3.4
10,Princess-Rosethorn,,7,10,4,0,1,2,5,1,-80.00%,140,0.9
11,Eringate-Centennial-West Deane,,7,4,5,6,4,6,17,9,-47.10%,108,4.8
12,Markland Woods,,3,1,2,1,6,3,0,3,N/A,124,2.9
13,Etobicoke West Mall,,7,2,2,2,15,2,16,6,-62.50%,101,5.5
14,Islington-City Centre West,,16,18,33,15,29,25,88,37,-58.00%,58,9.7
15,Kingsway South,,1,6,0,7,6,1,20,1,-95.00%,137,1.1
16,Stonegate-Queensway,,10,9,7,11,12,10,7,10,42.90%,112,4.1
17,Mimico,,12,8,21,15,14,14,11,14,27.30%,103,5.3
18,New Toronto,,18,15,7,12,11,17,14,8,-42.90%,82,7.3
19,Long Branch,,8,4,4,5,5,7,4,21,425.00%,8,21.8
20,Alderwood,,3,9,4,3,7,5,1,15,1400.00%,39,12.6
21,Humber Summit,,17,23,13,10,11,24,9,8,-11.10%,92,6.4
22,Humbermede,,25,15,19,14,12,38,5,34,580%,10,21.4
23,Pelmo Park-Humberlea,,16,5,8,6,14,23,7,5,-28.60%,97,5.7
24,Black Creek,,32,30,42,22,53,47,38,36,-5.30%,21,16.3
25,Glenfield-Jane Heights,,51,53,50,30,40,65,50,72,44.00%,5,22.9
26,Downsview-Roding-CFB,,49,45,48,55,50,41,35,50,42.90%,27,14.4
