Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
1,West Humber-Clairville,,427,368,404,436,439,391,300,288,84.5,2,-4.00%,
2,Mount Olive-Silverstone-Jamestown,,142,121,103,98,122,98,76,62,18.9,28,-18.40%,
3,Thistletown-Beaumond Heights,,33,35,37,39,19,35,21,12,11.9,80,-42.90%,
4,Rexdale-Kipling,,35,17,24,17,26,25,28,18,17.2,39,-35.70%,
5,Elms-Old Rexdale,,36,32,36,30,20,35,24,22,23.1,16,-8.30%,
6,Kingsview Village-The Westway,,74,58,88,68,51,61,59,48,22.1,19,-18.60%,
7,Willowridge-Martingrove-Richview,,47,53,48,46,77,55,64,49,23,17,-23.40%,
8,Humber Heights-Westmount,,13,21,17,13,20,21,23,8,7.6,119,-65.20%,
9,Edenbridge-Humber Valley,,41,45,36,49,44,21,30,21,14.1,56,-30.00%,
10,Princess-Rosethorn,,35,21,20,12,15,29,31,16,14.3,54,-48.40%,
11,Eringate-Centennial-West Deane,,56,33,26,31,30,29,32,25,13.3,67,-21.90%,
12,Markland Woods,,27,15,16,38,21,16,15,14,13.4,64,-6.70%,
13,Etobicoke West Mall,,43,29,33,20,16,28,21,15,13.7,60,-28.60%,
14,Islington-City Centre West,,321,257,277,306,194,227,180,188,49.4,3,4.40%,
15,Kingsway South,,22,17,24,26,11,21,15,15,16.4,44,0,
16,Stonegate-Queensway,,66,75,76,59,55,35,35,50,20.3,22,42.90%,
17,Mimico,,89,93,88,68,59,42,55,35,13.2,69,-36.40%,
18,New Toronto,,34,31,26,29,23,21,14,28,25.7,13,100.00%,
19,Long Branch,,36,18,26,19,18,22,21,17,17.7,34,-19.00%,
20,Alderwood,,35,33,33,36,47,25,26,19,16,47,-26.90%,
21,Humber Summit,,116,146,142,135,133,122,98,59,47,4,-39.80%,
22,Humbermede,,86,71,81,61,81,44,47,45,28.4,10,-4.30%,
23,Pelmo Park-Humberlea,,42,27,39,42,38,19,22,29,33.2,7,31.80%,
24,Black Creek,,114,117,157,142,76,80,58,59,26.8,11,1.70%,
25,Glenfield-Jane Heights,,157,138,145,118,106,84,77,37,11.8,82,-51.90%,
26,Downsview-Roding-CFB,,229,238,261,272,201,155,161,128,36.9,6,-20.50%,
27,York University Heights,,225,254,256,318,220,193,144,122,44,5,-15.30%,
28,Rustic,,27,36,38,28,36,23,25,18,18.1,31,-28.00%,
29,Maple Leaf,,41,40,46,47,43,21,18,13,12.8,74,-27.80%,
30,Brookhaven-Amesbury,,30,30,13,17,38,11,16,52,29.3,8,225.00%,
31,Yorkdale-Glen Park,,232,251,232,293,175,193,127,137,93.2,1,7.90%,
32,Englemount-Lawrence,,58,39,42,65,57,46,54,27,12.2,77,-50.00%,
33,Clanton Park,,60,71,104,121,100,60,56,42,28.7,9,-25.00%,
34,Bathurst Manor,,32,41,34,48,43,24,32,25,16.2,46,-21.90%,
35,Westminster-Branson,,59,54,64,60,46,31,40,26,10.2,93,-35.00%,
36,Newtonbrook West,,92,102,121,139,165,63,43,36,15.6,49,-16.30%,
37,Willowdale West,,23,24,20,20,9,19,16,10,6.7,123,-37.50%,
38,Lansing-Westgate,,33,22,24,35,31,34,25,24,16.4,42,-4%,
39,Bedford Park-Nortown,,52,41,64,80,47,79,72,42,18.1,32,-41.70%,
40,St.Andrew-Windfields,,65,32,44,61,28,20,27,26,14.5,53,-3.70%,
41,Bridle Path-Sunnybrook-York Mills,,18,18,15,19,20,18,12,11,12.6,75,-8.30%,
42,Banbury-Don Mills,,64,48,47,49,23,31,21,23,8.6,106,9.50%,
43,Victoria Village,,47,45,61,55,37,26,23,18,10.5,91,-21.70%,
44,Flemingdon Park,,50,55,45,34,34,27,15,13,5.9,128,-13.30%,
45,Parkwoods-Donalda,,118,109,128,86,86,73,55,41,11.8,81,-25.50%,
46,Pleasant View,,56,23,30,22,12,7,9,10,6.2,127,11.10%,
47,Don Valley Village,,141,130,135,163,90,75,53,50,18.7,29,-5.70%,
48,Hillcrest Village,,26,44,34,33,25,19,17,27,15.3,50,58.80%,
49,Bayview Woods-Steeles,,12,25,18,13,16,13,5,15,11.1,85,200.00%,
50,Newtonbrook East,,24,30,38,17,16,24,19,15,9.1,102,-21.10%,
51,Willowdale East,,59,77,59,61,38,57,64,37,8.2,112,-42.20%,
52,Bayview Village,,46,26,23,22,17,29,24,18,10.2,94,-25.00%,
53,Henry Farm,,28,27,34,29,21,19,13,10,8.8,104,-23.10%,
54,O'Connor-Parkview,,43,42,47,33,66,40,22,15,8.2,113,-31.80%,
55,Thorncliffe Park,,38,50,46,39,55,44,38,39,20.2,23,2.60%,
56,Leaside-Bennington,,44,38,29,35,38,26,12,24,14.1,55,100.00%,
57,Broadview North,,39,36,22,31,29,13,13,9,7.8,116,-30.80%,
58,Old East York,,25,27,17,22,8,8,9,8,8.8,105,-11.10%,
59,Danforth Village - East York,,29,39,30,38,22,18,14,8,4.8,132,-42.90%,
60,Woodbine-Lumsden,,16,21,11,20,10,14,13,7,9,103,-46.20%,
61,Crescent Town,,48,55,93,63,48,41,16,22,14.1,57,37.50%,
62,East End-Danforth,,59,83,66,63,41,36,27,10,4.8,131,-63.00%,
63,The Beaches,,31,41,44,33,43,25,29,15,7.1,120,-48.30%,
64,Woodbine Corridor,,23,40,28,21,22,9,12,4,3.4,139,-66.70%,
65,Greenwood-Coxwell,,41,62,47,46,36,25,30,21,14.9,52,-30.00%,
66,Danforth Village - Toronto,,37,41,33,33,23,15,10,13,13.8,59,30.00%,
67,Playter Estates-Danforth,,44,32,31,26,26,15,11,3,3.9,137,-72.70%,
68,North Riverdale,,54,42,35,24,41,27,21,10,8.2,111,-52.40%,
69,Blake-Jones,,26,26,34,32,17,16,4,13,16.7,40,225.00%,
70,South Riverdale,,120,113,112,89,69,54,44,35,13.6,61,-20.50%,
71,Cabbagetown-South St.James Town,,49,41,36,28,16,28,28,12,10,97,-57.10%,
72,Regent Park,,28,34,38,40,24,17,8,19,19,27,137.50%,
73,Moss Park,,64,60,61,55,33,33,41,27,16.6,41,-34.10%,
74,North St.James Town,,52,68,55,44,28,22,20,15,8.4,109,-25.00%,
75,Church-Yonge Corridor,,101,108,91,99,75,48,61,31,10.9,86,-49.20%,
76,Bay Street Corridor,,81,66,65,50,50,36,37,26,13.4,65,-29.70%,
77,Waterfront Communities-The Island,,197,167,148,158,109,100,100,61,14.1,58,-39.00%,
78,Kensington-Chinatown,,77,90,73,55,40,51,23,29,15.7,48,26.10%,
79,University,,24,25,21,14,23,13,13,6,7.7,117,-53.80%,
80,Palmerston-Little Italy,,51,35,44,27,18,23,21,16,11.7,83,-23.80%,
81,Trinity-Bellwoods,,60,46,33,43,37,38,35,22,13.1,71,-37.10%,
82,Niagara,,44,38,36,41,29,42,24,17,8.1,115,-29.20%,
83,Dufferin Grove,,63,27,71,58,47,32,22,15,13.1,70,-31.80%,
84,Little Portugal,,43,26,31,36,26,14,10,10,8.3,110,.%,
85,South Parkdale,,78,51,54,74,39,37,19,29,13.6,62,52.60%,
86,Roncesvalles,,45,45,40,33,14,24,9,10,6.7,124,11.10%,
87,High Park-Swansea,,73,60,46,49,24,49,26,26,12,79,0,
88,High Park North,,37,35,45,33,28,26,27,14,6.6,125,-48.10%,
89,Runnymede-Bloor West Village,,24,21,17,25,11,24,20,21,21.8,20,5%,
90,Junction Area,,67,67,75,67,45,40,47,32,22.8,18,-31.90%,
91,Weston-Pellam Park,,69,39,46,56,33,32,24,23,19.1,26,-4.20%,
92,Corsa Italia-Davenport,,46,42,60,68,32,32,28,18,13.1,72,-35.70%,
93,Dovercourt-Wallace Emerson-Juncti,,118,101,136,117,74,61,52,62,17.9,33,19.20%,
94,Wychwood,,28,32,39,31,29,14,22,15,10.7,89,-31.80%,
95,Annex,,119,90,84,61,64,49,33,39,13.4,66,18.20%,
96,Casa Loma,,14,9,9,18,9,20,10,4,3.8,138,-60.00%,
97,Yonge-St.Clair,,28,17,15,13,16,18,3,8,6.8,122,166.70%,
