Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,Percent Change between 2010 and 2011,Rank,"Number of occurrences per 10,000 residents in 2011",
1,West Humber-Clairville,,69,46,42,51,58,47,53,54,1.9%,2,15.8,
2,Mount Olive-Silverstone-Jamestown,,16,7,7,9,11,5,9,7,-22.2%,91,2.1,
3,Thistletown-Beaumond Heights,,7,5,6,2,1,2,2,2,0,96,2,
4,Rexdale-Kipling,,9,1,1,4,1,2,0,3,N/A,72,2.9,
5,Elms-Old Rexdale,,3,6,1,0,2,2,4,19,-8.30%,1,19.9,
6,Kingsview Village-The Westway,,8,2,6,9,5,4,12,8,-33.30%,47,3.7,
7,Willowridge-Martingrove-Richview,,9,8,9,3,4,2,8,8,0%,45,3.7,
8,Humber Heights-Westmount,,4,2,1,2,3,0,5,1,-80%,123,0.9,
9,Edenbridge-Humber Valley,,10,7,4,1,5,8,6,5,-16.70%,59,3.4,
10,Princess-Rosethorn,,13,2,1,2,3,2,4,9,125.%,9,8.1,
11,Eringate-Centennial-West Deane,,4,3,5,3,2,1,3,5,66.70%,78,2.7,
12,Markland Woods,,6,2,1,2,3,3,1,0,-100%,135,0,
13,Etobicoke West Mall,,9,3,2,0,1,7,3,4,33.30%,48,3.7,
14,Islington-City Centre West,,50,36,42,33,43,31,40,23,-42.5%,17,6,
15,Kingsway South,,3,7,2,2,2,3,4,2,-50%,89,2.2,
16,Stonegate-Queensway,,10,12,9,5,10,5,6,9,50.%,49,3.6,
17,Mimico,,21,9,9,8,15,11,12,9,-25.%,56,3.4,
18,New Toronto,,3,4,4,5,5,3,4,0,-100%,136,0,
19,Long Branch,,82,3,3,5,2,1,7,2,-71.4%,93,2.1,
20,Alderwood,,13,15,10,10,3,3,4,4,0.0,58,3.4,
21,Humber Summit,,12,18,20,12,12,17,13,6,-53.8%,27,4.8,
22,Humbermede,,7,10,5,2,5,10,4,2,-50%,116,1.3,
23,Pelmo Park-Humberlea,,5,5,7,2,3,6,7,6,-14.30%,12,6.9,
24,Black Creek,,6,4,3,8,4,6,9,4,-55.60%,101,1.8,
25,Glenfield-Jane Heights,,16,12,6,6,4,17,5,4,-20.%,114,1.3,
26,Downsview-Roding-CFB,,27,20,21,17,17,11,11,8,-27.3%,83,2.3,
